mode	writers	wall_ms	p50_us	p99_us	mean_us	max_us	useful_cpu_ms	search_ms	prepare_ms	dsfb_observe_ms	dsfb_plan_ms	dsfb_trust_ms	queue%	peak_in_flight	candidates	logical_bytes	reachable_bytes	byte_exact	families
mutex	1	1466	5010	5589	4923	5826	10019	10551	1095	2.52	1.97	0.74	0.1	64	4096	268435456	269219336	ok	RAW=4096
mutex	8	739	20276	29189	20568	32565	10544	11598	4909	4.35	2.10	1.57	4.9	128	4096	268435456	269219336	ok	RAW=4096
mutex	16	774	46158	77633	44585	83784	10409	11400	10738	3.17	2.17	0.81	2.4	128	4096	268435456	269219336	ok	RAW=4096
mutex	16	3163	46669	80194	46217	107148	42106	46424	44214	15.77	9.87	3.39	3.0	128	16384	1073741824	1076876689	ok	RAW=16384
