mode	corpus	logical	grammar_total	grammar_ratio	efs_fg	efs_settled	zstd_whole	verdict
12d0	generated-config	12015600	66059	181.89	5899905	465068	29731	stop
12d0	diverse	13107200	13109200	1.00	5350054	5347872	5377719	loses-as-expected
