mode	writers	wall_ms	p50_us	p95_us	p99_us	mean_us	physical_barriers	fsync_requests	amplification	commit_lock_wait_ms	byte_exact
group	1	24	27.1	38.7	38.7	29.3	18	18	1.00	0.0	ok
group	2	23	32.6	39.0	39.3	32.8	35	35	1.00	0.0	ok
group	4	24	47.4	79.5	98.9	48.8	63	69	0.91	0.1	ok
group	8	28	67.3	149.8	172.8	80.1	116	137	0.85	0.7	ok
group	16	43	217.1	868.8	1399.5	307.4	146	273	0.53	6.1	ok
group	32	81	1567.4	3070.0	3498.1	1574.7	125	545	0.23	13.7	ok
