corpus,mode,run,logical_bytes,written_bytes,reachable_bytes,total_backing_bytes,unreachable_bytes,ratio_reachable,write_mbps,read_mbps,write_wall_s,read_wall_s,cpu_user_s,cpu_sys_s,result_hash
structured,full,0,16777216,16777216,19844,1092924,805852,845.4554,122.881,3226.878,0.1302,0.0050,0.1200,0.0100,497f9bbeba753d09b02280c5704355ba5158568364e638904a3cb471fb20c9cc
structured,full,1,16777216,16777216,19844,1092924,805852,845.4554,131.052,3190.162,0.1221,0.0050,0.1200,0.0000,497f9bbeba753d09b02280c5704355ba5158568364e638904a3cb471fb20c9cc
structured,full,2,16777216,16777216,19844,1092924,805852,845.4554,134.777,3242.629,0.1187,0.0049,0.1200,0.0000,497f9bbeba753d09b02280c5704355ba5158568364e638904a3cb471fb20c9cc
structured,full,3,16777216,16777216,19844,1092924,805852,845.4554,137.069,3197.086,0.1167,0.0050,0.1200,0.0000,497f9bbeba753d09b02280c5704355ba5158568364e638904a3cb471fb20c9cc
structured,full,4,16777216,16777216,19844,1092924,805852,845.4554,135.874,3021.592,0.1178,0.0053,0.1200,0.0000,497f9bbeba753d09b02280c5704355ba5158568364e638904a3cb471fb20c9cc
src,full,0,1610195,1610195,475016,562745,83117,3.3898,35.277,384.960,0.0435,0.0040,0.0500,0.0000,fd72637ec1fba139a7a826d3bfc65a279052667a2cd4c8349fddbffa02901511
src,full,1,1610195,1610195,475016,562745,83117,3.3898,35.682,388.176,0.0430,0.0040,0.0500,0.0000,fd72637ec1fba139a7a826d3bfc65a279052667a2cd4c8349fddbffa02901511
src,full,2,1610195,1610195,475016,562745,83117,3.3898,34.004,365.621,0.0452,0.0042,0.0400,0.0000,fd72637ec1fba139a7a826d3bfc65a279052667a2cd4c8349fddbffa02901511
urandom,full,0,8388608,8388608,8413743,9134614,714564,0.9970,49.629,3923.752,0.1612,0.0020,0.1600,0.0100,604c808e92b08b0eced8fa162979d9415f523cf2d02c97baeceb59d689254014
urandom,full,1,8388608,8388608,8413743,9134614,714564,0.9970,50.876,4043.954,0.1572,0.0020,0.1600,0.0000,604c808e92b08b0eced8fa162979d9415f523cf2d02c97baeceb59d689254014
urandom,full,2,8388608,8388608,8413743,9134614,714564,0.9970,51.008,3979.464,0.1568,0.0020,0.1500,0.0100,604c808e92b08b0eced8fa162979d9415f523cf2d02c97baeceb59d689254014
compressed-z19,full,0,280413,280413,282258,291367,4497,0.9935,52.136,3641.525,0.0051,0.0001,0.0100,0.0000,59cd2c8502e2856a6f8f5b7601c09fc383e8ea5511a6a4c84e41f0bf62828333
compressed-z19,full,1,280413,280413,282258,291367,4497,0.9935,51.097,3323.672,0.0052,0.0001,0.0000,0.0000,59cd2c8502e2856a6f8f5b7601c09fc383e8ea5511a6a4c84e41f0bf62828333
compressed-z19,full,2,280413,280413,282258,291367,4497,0.9935,50.922,3686.809,0.0053,0.0001,0.0100,0.0000,59cd2c8502e2856a6f8f5b7601c09fc383e8ea5511a6a4c84e41f0bf62828333
versioned,full,0,4194304,33554432,1528175,44446424,42854258,2.7446,66.763,1138.941,0.4793,0.0035,0.4600,0.0200,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,full,1,4194304,33554432,1528175,44446424,42854258,2.7446,66.797,1150.411,0.4791,0.0035,0.4600,0.0200,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,full,2,4194304,33554432,1528175,44446424,42854258,2.7446,66.968,1142.935,0.4778,0.0035,0.4600,0.0200,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,0,4194304,33554432,1214754,14450895,13172150,3.4528,73.104,1529.057,0.4377,0.0026,0.4300,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,1,4194304,33554432,1214754,14450895,13172150,3.4528,72.577,1542.520,0.4409,0.0026,0.4300,0.0000,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
versioned,no-base,2,4194304,33554432,1214754,14450895,13172150,3.4528,72.773,1558.495,0.4397,0.0026,0.4300,0.0100,52755c6a695ae50351c33c5c6345bc78c4a4bf04763d9270b2238ff8f626ec92
shuffled,full,0,4194304,33554432,2351510,18475700,16064108,1.7837,58.893,838.312,0.5434,0.0048,0.5200,0.0100,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
shuffled,full,1,4194304,33554432,2351510,18475700,16064108,1.7837,59.589,872.440,0.5370,0.0046,0.5200,0.0100,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
shuffled,full,2,4194304,33554432,2351510,18475700,16064108,1.7837,59.772,889.313,0.5354,0.0045,0.5300,0.0200,e9304c30daddc9e80c3b8d57483c518ea5637c6241ca02d835618299e3d194ac
